Source,Species,Latitud,Longitud,Date,Location,State/Islands
J.Gibb 2018,Lasioglossum (Dialictus) dispersum,17°96.54' N,66°88.30' W,16 oct 1996,Guánica,Puerto Rico
J.Gibb 2018,Lasioglossum (Dialictus) dispersum,17°95.96' N,66°89.90' W,4 nov 1996,Guánica,Puerto Rico
J.Gibb 2018,Lasioglossum (Dialictus) dispersum,17°97.78' N,66°88.64' W,21 Dec. 1996,Guánica,Puerto Rico
J.Gibb 2018,Lasioglossum (Dialictus) dispersum,18°02.292' N,66°79.064' W,May 2006,Guayanilla,Puerto Rico
J.Gibb 2018,Lasioglossum (Dialictus) dispersum,18°02.292' N,66°79.064' W,Feb. 2009,Guayanilla,Puerto Rico
J.Gibb 2018,Lasioglossum (Dialictus) dispersum,18°11.862′ N,66°56.347′ W,18 jun 2014,Maricao,Puerto Rico
J.Gibb 2018,Lasioglossum (Dialictus) dispersum,18°20.680' N,67°14.842' W,Aug 1969,Mayagüez,Puerto Rico
J.Gibb 2018,Lasioglossum (Dialictus) dispersum,18°02.275′ N,66°38.585′ W,17-15 Jul 2014,Ponce,Puerto Rico
J.Gibb 2018,Lasioglossum (Dialictus) dispersum,18°02.275′ N,66°38.585′ W,12 Aug.–9 Sep. 2014,Ponce,Puerto Rico
J.Gibb 2018,Lasioglossum (Dialictus) dispersum,18°02.275′ N,66°38.585′ W,9 Sep.–7 Oct. 2014,Ponce,Puerto Rico
J.Gibb 2018,Lasioglossum (Dialictus) dispersum,18°02.275′ N,66°38.585′ W,4 Nov.–2 Dec. 2014,Ponce,Puerto Rico
J.Gibb 2018,Lasioglossum (Dialictus) dispersum,18°02.275′ N,66°38.585′ W,17 Jun.–15 Jul. 2014,Ponce,Puerto Rico
J.Gibb 2018,Lasioglossum (Dialictus) dispersum,18°02.275′ N,66°38.585′ W,15 Jul.–12 Aug. 2014,Ponce,Puerto Rico
J.Gibb 2018,Lasioglossum (Dialictus) dispersum,18°01.153' N,66°61.466' W,12 Sep. 2010,Ponce,Puerto Rico
J.Gibb 2018,Lasioglossum (Dialictus) dispersum,18°07.4616′ N,66°38.2638′ W,10 Feb.–10 Mar. 2015,Ponce,Puerto Rico
J.Gibb 2018,Lasioglossum (Dialictus) dispersum,18°07.4616′ N,66°38.2638′ W,15 Jul.–12 Aug. 2014,Ponce,Puerto Rico
J.Gibb 2018,Lasioglossum (Dialictus) dispersum,18°07.4616′ N,66°38.2638′ W,9 Sep.–7 Oct. 2014,Ponce,Puerto Rico
J.Gibb 2018,Lasioglossum (Dialictus) dispersum,18°07.4628′ N,66° 38.1882′ W,9 Sep.–7 Oct. 2014,Ponce,Puerto Rico
J.Gibb 2018,Lasioglossum (Dialictus) dispersum,18°07.4628′ N,66° 38.1882′ W,2 Dec. 2014–13 Jan. 2014,Ponce,Puerto Rico
J.Gibb 2018,Lasioglossum (Dialictus) dispersum,17°97.872' N,66°29.467' W,23 Mar 1936,Salinas,Puerto Rico
J.Gibb 2018,Lasioglossum (Dialictus) dispersum,18°40.063' N,66°06.562' W,Sep 1939,San Juan,Puerto Rico
J.Gibb 2018,Lasioglossum (Dialictus) dispersum,17°59.737′ N,66°25.451′ W,24 Apr 2013,Santa Isabel,Puerto Rico
J.Gibb 2018,Lasioglossum (Dialictus) dispersum,17°59.705′ N,66°25.063′ W,23 Jan. 2013,Santa Isabel,Puerto Rico
J.Gibb 2018,Lasioglossum (Dialictus) dispersum,17°59.705′ N,66°25.063′ W,3 Mar. 2013,Santa Isabel,Puerto Rico
J.Gibb 2018,Lasioglossum (Dialictus) dispersum,18°0.017′ N,66°26.115′ W,24 Jan. 2013,Santa Isabel,Puerto Rico
J.Gibb 2018,Lasioglossum (Dialictus) dispersum,18°0.017′ N,66°26.115′ W,13 Mar. 2013,Santa Isabel,Puerto Rico
J.Gibb 2018,Lasioglossum (Dialictus) dispersum,18°0.017′ N,66°26.115′ W,24 Apr. 2013,Santa Isabel,Puerto Rico
J.Gibb 2018,Lasioglossum (Dialictus) dispersum,18°0.017′ N,66°26.115′ W,6 Apr. 2013,Santa Isabel,Puerto Rico
J.Gibb 2018,Lasioglossum (Dialictus) dispersum,17°58.632′ N,66°23.096′ W,29 Jan. 2013,Santa Isabel,Puerto Rico
J.Gibb 2018,Lasioglossum (Dialictus) dispersum,17°58.547′ N,66°25.063′ W,22 Jan. 2013,Santa Isabel,Puerto Rico
J.Gibb 2018,Lasioglossum (Dialictus) dispersum,17°58.547′ N,66°25.063′ W,28 Jan. 2013,Santa Isabel,Puerto Rico
J.Gibb 2018,Lasioglossum (Dialictus) dispersum,17°58.547′ N,66°25.063′ W,13 Mar. 2013,Santa Isabel,Puerto Rico
J.Gibb 2018,Lasioglossum (Dialictus) dispersum,17°58.547′ N,66°25.063′ W,15 Mar. 2013,Santa Isabel,Puerto Rico
J.Gibb 2018,Lasioglossum (Dialictus) dispersum,17°58.547′ N,66°25.063′ W,12 May 2013,Santa Isabel,Puerto Rico
J.Gibb 2018,Lasioglossum (Dialictus) dispersum,17°59.496′ N,66°26.582′ W,13 Mar. 2013,Santa Isabel,Puerto Rico
J.Gibb 2018,Lasioglossum (Dialictus) dispersum,17°59.496′ N,66°26.582′ W,15 Mar. 2013,Santa Isabel,Puerto Rico
J.Gibb 2018,Lasioglossum (Dialictus) dispersum,17°59.496′ N,66°26.582′ W,24 Apr. 2013,Santa Isabel,Puerto Rico
J.Gibb 2018,Lasioglossum (Dialictus) dispersum,17°59.496′ N,66°26.582′ W,26 Apr. 2013,Santa Isabel,Puerto Rico
J.Gibb 2018,Lasioglossum (Dialictus) dispersum,18°01.830′ N,66°53.042′ W,23 May - 20Jun 2014,Yauco,Puerto Rico
J.Gibb 2018,Lasioglossum (Dialictus) dispersum,18°01.830′ N,66°53.042′ W,20 Jun.–18 Jul. 2014,Yauco,Puerto Rico
J.Gibb 2018,Lasioglossum (Dialictus) dispersum,18°01.830′ N,66°53.042′ W,18 Jul.–15 Aug. 2014,Yauco,Puerto Rico
J.Gibb 2018,Lasioglossum (Dialictus) dispersum,18°01.830′ N,66°53.042′ W,15 Aug.–12 Sep. 2014,Yauco,Puerto Rico
J.Gibb 2018,Lasioglossum (Dialictus) dispersum,18°01.830′ N,66°53.042′ W,Jun.–Jul. 2014,Yauco,Puerto Rico
J.Gibb 2018,Lasioglossum (Dialictus) dispersum,18°07.724′ N,66°53.386′ W,20 Jun.–18 Jul. 2014,Yauco,Puerto Rico
J.Gibb 2018,Lasioglossum (Dialictus) dispersum,18°07.724′ N,66°53.386′ W,18 Jul.–15 Aug. 2014,Yauco,Puerto Rico
J.Gibb 2018,Lasioglossum (Dialictus) dispersum,18°07.724′ N,66°53.386′ W,15 Aug.–12 Sep. 2014,Yauco,Puerto Rico
J.Gibb 2018,Lasioglossum (Dialictus) dispersum,18°07.724′ N,66°53.386′ W,12 Sep.–10 Oct. 2014,Yauco,Puerto Rico
J.Gibb 2018,Lasioglossum (Dialictus) dispersum,18°07.724′ N,66°53.386′ W,20 Jun.–18 Jul. 2014,Yauco,Puerto Rico
J.Gibb 2018,Lasioglossum (Dialictus) dispersum,18°07.724′ N,66°53.386′ W,5 Nov.–5 Dec. 2014,Yauco,Puerto Rico
J.Gibb 2018,Lasioglossum (Dialictus) dispersum,18°08.371′ N,66°49.230′ W,12 Feb.–12 Mar. 2015,Yauco,Puerto Rico
J.Gibb 2018,Lasioglossum (Dialictus) dispersum,17°42.982′ N,64°41.701′ W,20 Mar. 2013,"St. Croix, Anna’s Hope Village",US Virgin Islands
J.Gibb 2018,Lasioglossum (Dialictus) dispersum,17°42.982′ N,64°41.701′ W,18 Apr. 2013,"St. Croix, Anna’s Hope Village",US Virgin Islands
J.Gibb 2018,Lasioglossum (Dialictus) dispersum,17°42.982′ N,64°41.701′ W,20 Mar. 2013,"St. Croix, Anna’s Hope Village",US Virgin Islands
J.Gibb 2018,Lasioglossum (Dialictus) dispersum,17°74.391' N,64°70.656' W,1940,Christiansted,US Virgin Islands
J.Gibb 2018,Lasioglossum (Dialictus) dispersum,17°44.263′ N,64°47.920′ W,18 Mar. 2013,Northcentral,US Virgin Islands
J.Gibb 2018,Lasioglossum (Dialictus) dispersum,17°44.263′ N,64°47.920′ W,6 jun 2013,Northcentral,US Virgin Islands
J.Gibb 2018,Lasioglossum (Dialictus) dispersum,17°43.186′ N,64°48.701′ W,21 Mar. 2013,Northcentral,US Virgin Islands
J.Gibb 2018,Lasioglossum (Dialictus) dispersum,17°43.186′ N,64°48.701′ W,21 Mar. 2013,Northcentral,US Virgin Islands
J.Gibb 2018,Lasioglossum (Dialictus) dispersum,17°42.397′ N,64°50.022′ W,19 Mar. 2013,Southwest,US Virgin Islands
J.Gibb 2018,Lasioglossum (Dialictus) dispersum,17°42.397′ N,64°50.022′ W,19 Mar. 2013,Southwest,US Virgin Islands
J.Gibb 2018,Lasioglossum (Dialictus) dispersum,17°78.580' N,64°62.690' W,13 Aug. 2010,Buck Island Reef National Monument,US Virgin Islands
J.Gibb 2018,Lasioglossum (Dialictus) dispersum,17°78.020' N,64°76.160' W,13 Aug. 2010,Buck Island Reef National Monument,US Virgin Islands
J.Gibb 2018,Lasioglossum (Dialictus) dispersum,18°72.72' N,64°34.31' W,17 oct 1992,Anegada Island,British Virgin Islands
J.Gibb 2018,Lasioglossum (Dialictus) dispersum,18°47.53' N,64°56.96' W,29 Sep. 2006,Guana Island,British Virgin Islands
J.Gibb 2018,Lasioglossum (Dialictus) dispersum,18°47.53' N,64°56.96' W,6 oct 2009,Guana Island,British Virgin Islands
J.Gibb 2018,Lasioglossum (Dialictus) dispersum,18°47.53' N,64°56.96' W,8 oct 2009,Guana Island,British Virgin Islands
J.Gibb 2018,Lasioglossum (Dialictus) dispersum,18°47.53' N,64°56.96' W,21 oct 2001,Guana Island,British Virgin Islands
J.Gibb 2018,Lasioglossum (Dialictus) dispersum,18°47.53' N,64°56.96' W,16 oct 2009,Guana Island,British Virgin Islands
J.Gibb 2018,Lasioglossum (Dialictus) dispersum,18°47.53' N,64°56.96' W,17 oct 2009,Guana Island,British Virgin Islands
J.Gibb 2018,Lasioglossum (Dialictus) dispersum,18°47.53' N,64°56.96' W,20 oct 2009,Guana Island,British Virgin Islands
J.Gibb 2018,Lasioglossum (Dialictus) dispersum,18°47.53' N,64°56.96' W,5 oct 1991,Guana Island,British Virgin Islands
J.Gibb 2018,Lasioglossum (Dialictus) dispersum,18°47.53' N,64°56.96' W,15 oct 1991,Guana Island,British Virgin Islands
J.Gibb 2018,Lasioglossum (Dialictus) dispersum,18°47.53' N,64°56.96' W,19 oct 1991,Guana Island,British Virgin Islands
J.Gibb 2018,Lasioglossum (Dialictus) dispersum,18°47.53' N,64°56.96' W,21 oct 1991,Guana Island,British Virgin Islands
J.Gibb 2018,Lasioglossum (Dialictus) dispersum,18°47.53' N,64°56.96' W,23 oct 1991,Guana Island,British Virgin Islands
J.Gibb 2018,Lasioglossum (Dialictus) dispersum,18°47.53' N,64°56.96' W,26–27 Oct. 1992,Guana Island,British Virgin Islands
J.Gibb 2018,Lasioglossum (Dialictus) dispersum,18°47.53' N,64°56.96' W,11 oct 1992,Guana Island,British Virgin Islands
J.Gibb 2018,Lasioglossum (Dialictus) dispersum,18°47.53' N,64°56.96' W,13–14 Oct. 1992,Guana Island,British Virgin Islands
J.Gibb 2018,Lasioglossum (Dialictus) dispersum,18°47.53' N,64°56.96' W,17–19 Oct. 1992,Guana Island,British Virgin Islands
J.Gibb 2018,Lasioglossum (Dialictus) dispersum,18°47.53' N,64°56.96' W,8 oct 1992,Guana Island,British Virgin Islands
J.Gibb 2018,Lasioglossum (Dialictus) dispersum,18°47.53' N,64°56.96' W,9 oct 1992,Guana Island,British Virgin Islands
J.Gibb 2018,Lasioglossum (Dialictus) dispersum,18°47.53' N,64°56.96' W,28 oct 1992,Guana Island,British Virgin Islands
J.Gibb 2018,Lasioglossum (Dialictus) dispersum,18°47.53' N,64°56.96' W,22 Apr. 1993,Guana Island,British Virgin Islands
J.Gibb 2018,Lasioglossum (Dialictus) dispersum,18°47.53' N,64°56.96' W,23 Apr. 1993,Guana Island,British Virgin Islands
J.Gibb 2018,Lasioglossum (Dialictus) dispersum,18°47.53' N,64°56.96' W,28 jun 1993,Guana Island,British Virgin Islands
J.Gibb 2018,Lasioglossum (Dialictus) dispersum,18°47.53' N,64°56.96' W,18 oct 1992,Guana Island,British Virgin Islands
J.Gibb 2018,Lasioglossum (Dialictus) dispersum,18°47.53' N,64°56.96' W,25 oct 1992,Guana Island,British Virgin Islands
J.Gibb 2018,Lasioglossum (Dialictus) dispersum,18°47.53' N,64°56.96' W,Jan. 2002,Guana Island,British Virgin Islands
J.Gibb 2018,Lasioglossum (Dialictus) dispersum,18°47.53' N,64°56.96' W,5 jul 1993,Guana Island,British Virgin Islands
J.Gibb 2018,Lasioglossum (Dialictus) dispersum,18°47.53' N,64°56.96' W,9 jul 1993,Guana Island,British Virgin Islands
J.Gibb 2018,Lasioglossum (Dialictus) dispersum,23°57.49ʹ N,164°70.03' W,21 jul 1987,Necker Island,British Virgin Islands
J.Gibb 2018,Lasioglossum (Dialictus) Amona,18°08.29' N,67°89.27' W,5 Apr. 1944,Mona,Puerto Rico
J.Gibb 2018,Lasioglossum (Dialictus) Amona,18°08.29' N,67°89.27' W,30 May 1963,Mona,Puerto Rico
J.Gibb 2018,Lasioglossum (Dialictus) Amona,18°08.29' N,67°89.27' W,19-26 Jan 2001,Mona,Puerto Rico
J.Gibb 2018,Lasioglossum (Dialictus) Amona,18°08.29' N,67°89.27' W,11 nov 1992,Mona,Puerto Rico
J.Gibb 2018,Lasioglossum (Dialictus) Amona,18°08.29' N,67°89.27' W,28-30 Oct 1991,Mona,Puerto Rico
J.Gibb 2018,Lasioglossum (Dialictus) enatum,17°58.994′ N,67°08.455′ W,12-16 May,Cabo Rojo,Puerto Rico
J.Gibb 2018,Lasioglossum (Dialictus) enatum,18°42.15' N,67°15.07' W,Jan 1899,Aguadilla,Puerto Rico
J.Gibb 2018,Lasioglossum (Dialictus) enatum,18°42.57' N,67°13.64' W,jul 1999,Aguadilla,Puerto Rico
J.Gibb 2018,Lasioglossum (Dialictus) enatum,18°45.55' N,66°74.43' W,4 oct 1922,Arecibo,Puerto Rico
J.Gibb 2018,Lasioglossum (Dialictus) enatum,18°46.21' N,66°70.98' W,19 Dec. 1933,Arecibo,Puerto Rico
J.Gibb 2018,Lasioglossum (Dialictus) enatum,18°28.05' N,67°14.06' W,3 jul 1917,Añasco,Puerto Rico
J.Gibb 2018,Lasioglossum (Dialictus) enatum,17°96.47' N,66°06.07' W,Feb. 1899,Arroyo,Puerto Rico
J.Gibb 2018,Lasioglossum (Dialictus) enatum,18°45.08' N,66°54.01' W,21 Feb 1933,Barceloneta,Puerto Rico
J.Gibb 2018,Lasioglossum (Dialictus) enatum,18°45.23' N,66°53.98' W,15 nov 1932,Barceloneta,Puerto Rico
J.Gibb 2018,Lasioglossum (Dialictus) enatum,18°37.84' N,66°15.08' W,26 jun 1917,Bayamon,Puerto Rico
J.Gibb 2018,Lasioglossum (Dialictus) enatum,18°08.54' N,67°14.68' W,Dec 1960,Cabo Rojo,Puerto Rico
J.Gibb 2018,Lasioglossum (Dialictus) enatum,18°09.22' N,67°14.53' W,4 May 1985,Cabo Rojo,Puerto Rico
J.Gibb 2018,Lasioglossum (Dialictus) enatum,17°58.816′ N,67°10.231′ W,27 May–13 Jun. 2014,Cabo Rojo,Puerto Rico
J.Gibb 2018,Lasioglossum (Dialictus) enatum,17°58.816′ N,67°10.231′ W,3 jun 2014,Cabo Rojo,Puerto Rico
J.Gibb 2018,Lasioglossum (Dialictus) enatum,17°58.994′ N,67°08.455′ W,12–16 May 2014,Cabo Rojo,Puerto Rico
J.Gibb 2018,Lasioglossum (Dialictus) enatum,17°58.994′ N,67°08.455′ W,6 jun 2014,Cabo Rojo,Puerto Rico
J.Gibb 2018,Lasioglossum (Dialictus) enatum,17°58.46′ N,67°11.37′ W,29 nov 2008,Cabo Rojo,Puerto Rico
J.Gibb 2018,Lasioglossum (Dialictus) enatum,18°10.85' N,66°16.40' W,5 nov 1992,Cayey,Puerto Rico
J.Gibb 2018,Lasioglossum (Dialictus) enatum,18°17.25' N,66°15.95' W,7 May 1985,Cidra,Puerto Rico
J.Gibb 2018,Lasioglossum (Dialictus) enatum,18°17.50' N,66°16.18' W,5 Aug. 1932,Cidra,Puerto Rico
J.Gibb 2018,Lasioglossum (Dialictus) enatum,18°17.22' N,66°16.03' W,5 Aug. 1932,Cidra,Puerto Rico
J.Gibb 2018,Lasioglossum (Dialictus) enatum,18°34.47' N,66°31.94' W,1 Jan 1920,Corozal,Puerto Rico
J.Gibb 2018,Lasioglossum (Dialictus) enatum,18°31.63' N,65°30.45' W,7 nov 2008,Culebra,Puerto Rico
J.Gibb 2018,Lasioglossum (Dialictus) enatum,17°56.55′ N,66°52.36′ W,27 nov 2008,Guánica,Puerto Rico
J.Gibb 2018,Lasioglossum (Dialictus) enatum,17°97.99' N,66°87.05' W,1 oct 1997,Guánica,Puerto Rico
J.Gibb 2018,Lasioglossum (Dialictus) enatum,17°95.94' N,66°88.12' W,29 Sep. 1945,Guánica,Puerto Rico
J.Gibb 2018,Lasioglossum (Dialictus) enatum,17°97.68' N,66°90.38' W,26 Sep. 1998,Guánica,Puerto Rico
J.Gibb 2018,Lasioglossum (Dialictus) enatum,17°96.35' N,66°89.87' W,27 Sep. 1998,Guánica,Puerto Rico
J.Gibb 2018,Lasioglossum (Dialictus) enatum,18°01.56' N,66°78.87' W,8 jul 2007,Guayanilla,Puerto Rico
J.Gibb 2018,Lasioglossum (Dialictus) enatum,18°02.41' N,66°79.50' W,8 jun 2007,Guayanilla,Puerto Rico
J.Gibb 2018,Lasioglossum (Dialictus) enatum,18°01.83' N,66°79.13' W,1 oct 2008,Guayanilla,Puerto Rico
J.Gibb 2018,Lasioglossum (Dialictus) enatum,18°01.56' N,66°78.61' W,14 nov 2010,Guayanilla,Puerto Rico
J.Gibb 2018,Lasioglossum (Dialictus) enatum,18°14.84' N,65°82.05' W,11 May 1985,Humacao,Puerto Rico
J.Gibb 2018,Lasioglossum (Dialictus) enatum,18°50.20' N,67°02.16' W,7 Apr 1948,Isabela,Puerto Rico
J.Gibb 2018,Lasioglossum (Dialictus) enatum,18°49.96' N,67°01.77' W,29 jun1978,Isabela,Puerto Rico
J.Gibb 2018,Lasioglossum (Dialictus) enatum,18°49.70' N,67°02.33' W,nov 1981,Isabela,Puerto Rico
J.Gibb 2018,Lasioglossum (Dialictus) enatum,18°49.68' N,67°01.67' W,2–3 Feb. 1940,Isabela,Puerto Rico
J.Gibb 2018,Lasioglossum (Dialictus) enatum,18°49.41' N,67°01.86' W,24 Jan. 1971,Isabela,Puerto Rico
J.Gibb 2018,Lasioglossum (Dialictus) enatum,18°50.01' N,67°01.49' W,14 Jan. 1963,Isabela,Puerto Rico
J.Gibb 2018,Lasioglossum (Dialictus) enatum,18°04.87' N,67°06.10' W,Feb 1935,Lajas,Puerto Rico
J.Gibb 2018,Lasioglossum (Dialictus) enatum,18°05.34' N,67°05.76' W,4 May 1985,Lajas,Puerto Rico
J.Gibb 2018,Lasioglossum (Dialictus) enatum,18°04.67' N,67°05.80' W,19 Dec. 1962,Lajas,Puerto Rico
J.Gibb 2018,Lasioglossum (Dialictus) enatum,18°04.81' N,67°05.79' W,20 Dec. 1962,Lajas,Puerto Rico
J.Gibb 2018,Lasioglossum (Dialictus) enatum,18°43.83' N,65°90.51' W,5 nov 1985,Loiza,Puerto Rico
J.Gibb 2018,Lasioglossum (Dialictus) enatum,18°41.77' N,65°88.94' W,1 jun 1986,Loiza,Puerto Rico
J.Gibb 2018,Lasioglossum (Dialictus) enatum,18°37.10' N,65°71.97' W,9 May 1985,Luquillo,Puerto Rico
J.Gibb 2018,Lasioglossum (Dialictus) enatum,18°37.04' N,65°71.32' W,10 May 1985,Luquillo,Puerto Rico
J.Gibb 2018,Lasioglossum (Dialictus) enatum,18°36.83' N,65°72.04' W,13 May 1985,Luquillo,Puerto Rico
J.Gibb 2018,Lasioglossum (Dialictus) enatum,18°37.44' N,65°72.34' W,14 May 1985,Luquillo,Puerto Rico
J.Gibb 2018,Lasioglossum (Dialictus) enatum,18°11.862′ N,66°56.347′ W,18 jun 2014,Maricao,Puerto Rico
J.Gibb 2018,Lasioglossum (Dialictus) enatum,18°19.26' N,67°13.89' W,Jan 1899,Mayagüez,Puerto Rico
J.Gibb 2018,Lasioglossum (Dialictus) enatum,18°21.07' N,67°15.10' W,28 Aug. 1970,Mayagüez,Puerto Rico
J.Gibb 2018,Lasioglossum (Dialictus) enatum,18°00.92' N,66°62.29' W,May 1999,Ponce,Puerto Rico
J.Gibb 2018,Lasioglossum (Dialictus) enatum,18°00.56' N,66°66.22' W,oct 2010,Ponce,Puerto Rico
J.Gibb 2018,Lasioglossum (Dialictus) enatum,18°01.94' N,66°63.24' W,14 May 2008,Ponce,Puerto Rico
J.Gibb 2018,Lasioglossum (Dialictus) enatum,18°01.14' N,66°60.55' W,May 2008,Ponce,Puerto Rico
J.Gibb 2018,Lasioglossum (Dialictus) enatum,17°98.58' N,66°60.14' W,4 May 1985,Ponce,Puerto Rico
J.Gibb 2018,Lasioglossum (Dialictus) enatum,18°01.47' N,66°62.41' W,5 May 1985,Ponce,Puerto Rico
J.Gibb 2018,Lasioglossum (Dialictus) enatum,18°00.37' N,66°58.98' W,jul 1999,Ponce,Puerto Rico
J.Gibb 2018,Lasioglossum (Dialictus) enatum,18°02.06' N,66°59.31' W,7 May 1985,Ponce,Puerto Rico
J.Gibb 2018,Lasioglossum (Dialictus) enatum,18°07.4616′ N,66°38.2638′ W,17 Jun.–15 Jul. 2014,Ponce,Puerto Rico
J.Gibb 2018,Lasioglossum (Dialictus) enatum,18°07.4616′ N,66°38.2638′ W,15 Jul.–12 Aug. 2014,Ponce,Puerto Rico
J.Gibb 2018,Lasioglossum (Dialictus) enatum,18°07.4616′ N,66°38.2638′ W,12 Aug.–9 Sep. 2014,Ponce,Puerto Rico
J.Gibb 2018,Lasioglossum (Dialictus) enatum,18°07.4616′ N,66°38.2638′ W,9 Sep.–7 Oct. 2014,Ponce,Puerto Rico
J.Gibb 2018,Lasioglossum (Dialictus) enatum,18°07.4616′ N,66°38.2638′ W,17 Jun.–15 Jul. 2014,Ponce,Puerto Rico
J.Gibb 2018,Lasioglossum (Dialictus) enatum,18°07.89' N,66°96.24' W,3 May 1985,Sabana Grande,Puerto Rico
J.Gibb 2018,Lasioglossum (Dialictus) enatum,17°59.737′ N,66°25.451′ W,12 Mar 2013,Santa Isabel,Puerto Rico
J.Gibb 2018,Lasioglossum (Dialictus) enatum,17°59.737′ N,66°25.451′ W,24 Apr. 2013,Santa Isabel,Puerto Rico
J.Gibb 2018,Lasioglossum (Dialictus) enatum,17°57.780′ N,66°23.298′ W,25 Jan. 2013,Santa Isabel,Puerto Rico
J.Gibb 2018,Lasioglossum (Dialictus) enatum,17°57.780′ N,66°23.298′ W,30 Jan. 2013,Santa Isabel,Puerto Rico
J.Gibb 2018,Lasioglossum (Dialictus) enatum,17°57.780′ N,66°23.298′ W,22 Apr. 2013,Santa Isabel,Puerto Rico
J.Gibb 2018,Lasioglossum (Dialictus) enatum,17°57.780′ N,66°23.298′ W,23 Apr. 2013,Santa Isabel,Puerto Rico
J.Gibb 2018,Lasioglossum (Dialictus) enatum,17°59.705′ N,66°25.063′ W,23 Jan. 2013,Santa Isabel,Puerto Rico
J.Gibb 2018,Lasioglossum (Dialictus) enatum,17°59.705′ N,66°25.063′ W,13 Mar. 2013,Santa Isabel,Puerto Rico
J.Gibb 2018,Lasioglossum (Dialictus) enatum,17°59.705′ N,66°25.063′ W,2 May 2013,Santa Isabel,Puerto Rico
J.Gibb 2018,Lasioglossum (Dialictus) enatum,18°0.017′ N,"66°26.115′ W,",26 Jan. 2013,Santa Isabel,Puerto Rico
